Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
34,FEMALE,Is,H,1.5,1.773,8,1.0
34,FEMALE,L,A,0.0,0.0,9,0.5
34,FEMALE,L,I,0.0,0.0,9,0.5
34,MALE,A,R,16.667,1.528,3,1.0
34,MALE,H,R,17.5,3.0,4,1.0
34,MALE,I,Is,0.0,0.0,5,1.0
34,MALE,Is,H,1.6,3.05,5,1.0
34,MALE,L,A,0.0,0.0,6,0.545
34,MALE,L,I,0.0,0.0,5,0.455
35,FEMALE,A,R,19.0,0.0,1,1.0
35,FEMALE,H,R,21.5,3.536,2,1.0
35,FEMALE,I,Is,0.0,0.0,4,1.0
35,FEMALE,Is,H,1.25,1.258,4,1.0
35,FEMALE,L,A,0.0,0.0,4,0.5
35,FEMALE,L,I,0.0,0.0,4,0.5
35,MALE,A,R,17.5,3.536,2,1.0
35,MALE,H,D,34.0,0.0,1,0.167
35,MALE,H,R,21.0,4.301,5,0.833
35,MALE,I,Is,0.0,0.0,7,1.0
35,MALE,Is,H,2.167,2.639,6,1.0
35,MALE,L,A,0.0,0.0,6,0.462
35,MALE,L,I,0.0,0.0,7,0.538
36,FEMALE,A,R,20.5,0.707,2,1.0
36,FEMALE,H,R,20.0,2.828,2,1.0
36,FEMALE,I,Is,0.0,0.0,7,1.0
36,FEMALE,Is,H,3.5,2.881,6,1.0
36,FEMALE,L,A,0.0,0.0,5,0.417
36,FEMALE,L,I,0.0,0.0,7,0.583
36,MALE,A,R,16.0,1.732,3,1.0
36,MALE,H,R,20.0,2.345,5,1.0
36,MALE,I,Is,0.0,0.0,7,1.0
36,MALE,Is,H,3.714,3.352,7,1.0
36,MALE,L,A,0.0,0.0,5,0.417
36,MALE,L,I,0.0,0.0,7,0.583
37,FEMALE,A,R,12.0,9.899,2,1.0
37,FEMALE,H,R,20.333,5.612,9,1.0
37,FEMALE,I,Is,0.0,0.0,11,1.0
37,FEMALE,Is,H,0.909,2.3,11,1.0
37,FEMALE,L,A,0.0,0.0,4,0.267
37,FEMALE,L,I,0.0,0.0,11,0.733
37,MALE,A,R,9.0,0.0,1,1.0
37,MALE,H,R,30.5,7.778,2,1.0
37,MALE,I,Is,0.0,0.0,2,1.0
37,MALE,Is,H,0.0,4.243,2,1.0
37,MALE,L,A,0.0,0.0,3,0.6
37,MALE,L,I,0.0,0.0,2,0.4
38,FEMALE,A,R,14.5,0.707,2,1.0
38,FEMALE,H,R,23.333,13.503,3,1.0
38,FEMALE,I,Is,0.0,0.0,6,1.0
38,FEMALE,Is,H,3.8,4.087,5,1.0
38,FEMALE,L,A,0.0,0.0,7,0.538
38,FEMALE,L,I,0.0,0.0,6,0.462
38,MALE,A,R,14.0,0.0,1,1.0
38,MALE,H,D,7.0,0.0,1,0.25
38,MALE,H,R,20.333,4.509,3,0.75
38,MALE,I,Is,0.0,0.0,4,1.0
38,MALE,Is,H,4.75,4.573,4,1.0
38,MALE,L,A,0.0,0.0,5,0.556
38,MALE,L,I,0.0,0.0,4,0.444
39,FEMALE,H,R,17.333,1.528,3,1.0
39,FEMALE,I,Is,0.0,0.0,5,1.0
39,FEMALE,Is,H,4.6,7.232,5,1.0
39,FEMALE,L,A,0.0,0.0,3,0.375
39,FEMALE,L,I,0.0,0.0,5,0.625
39,MALE,A,R,16.0,0.0,2,1.0
39,MALE,H,R,19.2,3.834,5,1.0
39,MALE,I,Is,0.0,0.0,7,1.0
39,MALE,Is,H,2.286,2.43,7,1.0
39,MALE,L,A,0.0,0.0,6,0.462
39,MALE,L,I,0.0,0.0,7,0.538
40,FEMALE,A,R,22.0,0.0,1,1.0
40,FEMALE,H,R,13.0,1.414,2,1.0
40,FEMALE,I,Is,0.0,0.0,4,1.0
40,FEMALE,Is,H,1.25,1.258,4,1.0
40,FEMALE,L,A,0.0,0.0,3,0.429
40,FEMALE,L,I,0.0,0.0,4,0.571
40,MALE,A,R,18.0,0.0,1,1.0
40,MALE,H,R,20.5,3.536,2,1.0
40,MALE,I,Is,0.0,0.0,2,1.0
40,MALE,Is,H,1.5,0.707,2,1.0
40,MALE,L,A,0.0,0.0,5,0.714
40,MALE,L,I,0.0,0.0,2,0.286
41,FEMALE,A,R,16.5,2.646,4,1.0
41,FEMALE,I,Is,0.0,0.0,1,1.0
41,FEMALE,Is,H,1.0,0.0,1,1.0
41,FEMALE,L,A,0.0,0.0,6,0.857
41,FEMALE,L,I,0.0,0.0,1,0.143
41,MALE,H,R,18.0,1.414,2,1.0
41,MALE,I,Is,0.0,0.0,4,1.0
41,MALE,Is,H,5.25,4.193,4,1.0
41,MALE,L,A,0.0,0.0,1,0.2
41,MALE,L,I,0.0,0.0,4,0.8
42,FEMALE,A,R,17.667,3.512,3,1.0
42,FEMALE,H,R,17.4,5.857,5,1.0
42,FEMALE,I,Is,0.0,0.0,7,1.0
42,FEMALE,Is,H,1.714,2.215,7,1.0
42,FEMALE,L,A,0.0,0.0,7,0.5
42,FEMALE,L,I,0.0,0.0,7,0.5
42,MALE,A,R,14.5,3.536,2,1.0
42,MALE,H,R,18.5,6.952,4,1.0
42,MALE,I,Is,0.0,0.0,9,1.0
42,MALE,Is,H,2.222,2.333,9,1.0
42,MALE,L,A,0.0,0.0,3,0.25
42,MALE,L,I,0.0,0.0,9,0.75
43,FEMALE,A,R,18.0,0.0,1,1.0
43,FEMALE,H,R,19.75,10.689,4,1.0
43,FEMALE,I,Is,0.0,0.0,7,1.0
43,FEMALE,Is,H,1.667,1.506,6,1.0
43,FEMALE,L,A,0.0,0.0,9,0.562
43,FEMALE,L,I,0.0,0.0,7,0.438
43,MALE,A,R,16.0,4.583,3,1.0
43,MALE,H,R,17.0,6.683,4,1.0
43,MALE,I,Is,0.0,0.0,9,1.0
43,MALE,Is,H,2.625,3.204,8,1.0
43,MALE,L,A,0.0,0.0,7,0.438
43,MALE,L,I,0.0,0.0,9,0.562
44,FEMALE,A,R,15.5,4.95,2,1.0
44,FEMALE,H,R,9.5,31.054,4,1.0
44,FEMALE,I,Is,0.0,0.0,10,1.0
44,FEMALE,Is,H,4.6,3.34,10,1.0
44,FEMALE,L,A,0.0,0.0,5,0.333
44,FEMALE,L,I,0.0,0.0,10,0.667
44,MALE,A,R,19.0,1.732,3,1.0
44,MALE,H,D,9.0,0.0,1,0.143
44,MALE,H,R,14.833,4.956,6,0.857
44,MALE,I,Is,0.0,0.0,10,1.0
44,MALE,Is,H,1.5,3.536,10,1.0
44,MALE,L,A,0.0,0.0,6,0.375
44,MALE,L,I,0.0,0.0,10,0.625
45,FEMALE,A,R,15.5,2.121,2,1.0
45,FEMALE,H,R,16.333,2.517,3,1.0
45,FEMALE,I,Is,0.0,0.0,6,1.0
45,FEMALE,Is,H,6.5,5.683,6,1.0
45,FEMALE,L,A,0.0,0.0,7,0.538
45,FEMALE,L,I,0.0,0.0,6,0.462
45,MALE,A,R,13.0,0.0,1,1.0
45,MALE,H,D,5.0,0.0,1,0.125
45,MALE,H,R,20.429,4.685,7,0.875
45,MALE,I,Is,0.0,0.0,9,1.0
45,MALE,Is,H,2.444,4.447,9,1.0
45,MALE,L,A,0.0,0.0,3,0.25
45,MALE,L,I,0.0,0.0,9,0.75
46,FEMALE,H,R,18.0,6.083,3,1.0
46,FEMALE,I,Is,0.0,0.0,7,1.0
46,FEMALE,Is,H,1.833,4.262,6,1.0
46,FEMALE,L,A,0.0,0.0,2,0.222
46,FEMALE,L,I,0.0,0.0,7,0.778
46,MALE,A,R,14.0,0.0,1,1.0
46,MALE,H,R,19.2,6.458,5,1.0
46,MALE,I,Is,0.0,0.0,6,1.0
46,MALE,Is,H,3.0,2.53,6,1.0
46,MALE,L,A,0.0,0.0,2,0.25
46,MALE,L,I,0.0,0.0,6,0.75
47,FEMALE,A,R,15.143,1.864,7,1.0
47,FEMALE,H,R,18.857,3.716,7,1.0
47,FEMALE,I,Is,0.0,0.0,14,1.0
47,FEMALE,Is,H,3.857,3.527,14,1.0
47,FEMALE,L,A,0.0,0.0,11,0.44
47,FEMALE,L,I,0.0,0.0,14,0.56
47,MALE,H,R,18.0,2.828,2,1.0
47,MALE,I,Is,0.0,0.0,6,1.0
47,MALE,Is,H,1.833,1.169,6,1.0
47,MALE,L,A,0.0,0.0,8,0.571
47,MALE,L,I,0.0,0.0,6,0.429
48,FEMALE,A,R,17.667,1.528,3,1.0
48,FEMALE,H,R,13.0,0.0,1,1.0
48,FEMALE,I,Is,0.0,0.0,3,1.0
48,FEMALE,Is,H,0.667,1.155,3,1.0
48,FEMALE,L,A,0.0,0.0,8,0.727
48,FEMALE,L,I,0.0,0.0,3,0.273
48,MALE,A,R,17.333,6.807,3,1.0
48,MALE,H,R,21.556,5.318,9,1.0
48,MALE,I,Is,0.0,0.0,14,1.0
48,MALE,Is,H,2.786,2.914,14,1.0
48,MALE,L,A,0.0,0.0,7,0.333
