Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
42,MALE,I,Iv,1.0,0.0,1,0.333
42,MALE,Is,H,1.5,2.121,2,1.0
42,MALE,Iv,H,0.0,0.0,10,1.0
42,MALE,U,H,20.0,5.657,2,1.0
43,FEMALE,H,R,6.0,0.0,3,1.0
43,FEMALE,Iv,H,0.0,0.0,5,1.0
43,MALE,H,R,7.0,4.93,14,1.0
43,MALE,I,Is,0.0,0.0,2,0.667
43,MALE,I,Iv,3.0,0.0,1,0.333
43,MALE,Is,H,7.0,9.899,2,1.0
43,MALE,Iv,H,0.0,0.0,14,1.0
44,FEMALE,H,R,6.8,5.891,5,1.0
44,FEMALE,I,Is,0.0,0.0,2,1.0
44,FEMALE,Is,H,2.0,1.414,2,1.0
44,FEMALE,Iv,H,0.0,0.0,5,1.0
44,MALE,H,R,6.545,3.532,11,0.917
44,MALE,H,U,4.0,0.0,1,0.083
44,MALE,I,Iv,6.0,0.0,1,1.0
44,MALE,Iv,H,0.0,0.0,11,1.0
44,MALE,U,H,8.0,0.0,1,1.0
45,FEMALE,H,R,7.444,4.275,9,1.0
45,FEMALE,Iv,H,0.0,0.0,10,1.0
45,MALE,H,R,6.071,4.582,14,0.875
45,MALE,H,U,2.5,3.536,2,0.125
45,MALE,I,Is,0.0,0.0,2,0.5
45,MALE,I,Iv,1.5,0.707,2,0.5
45,MALE,Is,H,4.5,0.707,2,1.0
45,MALE,Iv,H,0.0,0.0,17,1.0
45,MALE,U,H,0.0,0.0,1,1.0
46,FEMALE,H,R,5.714,2.289,7,1.0
46,FEMALE,I,Is,0.0,0.0,1,1.0
46,FEMALE,Is,H,8.0,0.0,1,1.0
46,FEMALE,Iv,H,0.0,0.0,7,1.0
46,MALE,H,R,7.75,5.007,8,1.0
46,MALE,I,Is,0.0,0.0,1,0.5
46,MALE,I,Iv,2.0,0.0,1,0.5
46,MALE,Is,H,13.0,0.0,1,1.0
46,MALE,Iv,H,0.0,0.0,10,1.0
47,FEMALE,H,R,6.133,3.889,15,0.882
47,FEMALE,H,U,0.0,0.0,2,0.118
47,FEMALE,I,Iv,2.0,0.0,1,1.0
47,FEMALE,Iv,H,0.0,0.0,17,1.0
47,FEMALE,U,H,3.5,4.95,2,1.0
47,MALE,H,R,7.35,4.966,20,0.909
47,MALE,H,U,6.5,6.364,2,0.091
47,MALE,Iv,H,0.0,0.0,24,1.0
47,MALE,U,H,20.0,0.0,1,1.0
48,FEMALE,H,D,0.0,0.0,1,0.111
48,FEMALE,H,R,6.375,2.722,8,0.889
48,FEMALE,I,Is,0.0,0.0,1,1.0
48,FEMALE,Is,H,9.0,0.0,1,1.0
48,FEMALE,Iv,H,0.0,0.0,9,1.0
48,MALE,H,R,6.5,4.553,14,0.933
48,MALE,H,U,1.0,0.0,1,0.067
48,MALE,I,Is,0.0,0.0,1,0.5
48,MALE,I,Iv,2.0,0.0,1,0.5
48,MALE,Is,H,0.0,0.0,1,1.0
48,MALE,Iv,H,0.0,0.0,16,1.0
48,MALE,U,H,5.0,0.0,1,1.0
49,FEMALE,H,R,3.889,3.018,9,1.0
49,FEMALE,I,Is,0.0,0.0,1,1.0
49,FEMALE,Is,H,1.0,0.0,1,1.0
49,FEMALE,Iv,H,0.0,0.0,9,1.0
49,MALE,H,R,6.294,2.664,17,0.944
49,MALE,H,U,10.0,0.0,1,0.056
49,MALE,I,Is,0.0,0.0,2,0.5
49,MALE,I,Iv,0.0,0.0,2,0.5
49,MALE,Is,H,0.0,0.0,2,1.0
49,MALE,Iv,H,0.0,0.0,19,1.0
50,FEMALE,H,R,7.6,3.406,10,1.0
50,FEMALE,I,Is,0.0,0.0,5,1.0
50,FEMALE,Is,H,3.4,3.209,5,1.0
50,FEMALE,Iv,H,0.0,0.0,10,1.0
50,MALE,H,R,6.812,3.526,16,0.941
50,MALE,H,U,0.0,0.0,1,0.059
50,MALE,I,Is,0.0,0.0,7,0.7
50,MALE,I,Iv,2.667,1.528,3,0.3
50,MALE,Is,H,4.714,5.09,7,1.0
50,MALE,Iv,H,0.278,1.179,18,1.0
50,MALE,U,H,2.0,0.0,1,1.0
51,FEMALE,H,R,7.286,2.289,7,1.0
51,FEMALE,Iv,H,0.0,0.0,7,1.0
51,MALE,H,R,9.444,6.09,18,1.0
51,MALE,I,Is,0.0,0.0,2,0.5
51,MALE,I,Iv,2.5,3.536,2,0.5
51,MALE,Is,H,3.5,4.95,2,1.0
51,MALE,Iv,H,0.0,0.0,20,1.0
52,FEMALE,H,R,6.3,4.398,10,0.909
52,FEMALE,H,U,0.0,0.0,1,0.091
52,FEMALE,I,Is,0.0,0.0,1,0.5
52,FEMALE,I,Iv,1.0,0.0,1,0.5
52,FEMALE,Is,H,1.0,0.0,1,1.0
52,FEMALE,Iv,H,0.0,0.0,12,1.0
52,FEMALE,U,H,1.0,0.0,1,1.0
52,MALE,H,R,6.286,4.665,14,0.933
52,MALE,H,U,0.0,0.0,1,0.067
52,MALE,I,Is,0.0,0.0,1,1.0
52,MALE,Is,H,1.0,0.0,1,1.0
52,MALE,Iv,H,0.0,0.0,18,1.0
52,MALE,U,H,0.0,0.0,1,1.0
53,FEMALE,H,R,4.0,1.549,6,0.857
53,FEMALE,H,U,2.0,0.0,1,0.143
53,FEMALE,I,Is,0.0,0.0,1,1.0
53,FEMALE,Is,H,1.0,0.0,1,1.0
53,FEMALE,Iv,H,0.0,0.0,9,1.0
53,MALE,H,R,10.0,5.71,11,0.846
53,MALE,H,U,0.5,0.707,2,0.154
53,MALE,I,Iv,1.0,1.414,2,1.0
53,MALE,Iv,H,0.875,2.5,16,1.0
53,MALE,U,H,2.0,0.0,1,1.0
54,FEMALE,H,D,16.0,0.0,1,0.1
54,FEMALE,H,R,7.5,5.155,8,0.8
54,FEMALE,H,U,3.0,0.0,1,0.1
54,FEMALE,Iv,H,0.0,0.0,9,1.0
54,FEMALE,U,H,12.0,0.0,1,1.0
54,MALE,H,D,2.0,0.0,1,0.037
54,MALE,H,R,8.0,3.476,25,0.926
54,MALE,H,U,4.0,0.0,1,0.037
54,MALE,I,Is,0.0,0.0,1,1.0
54,MALE,Is,H,7.0,0.0,1,1.0
54,MALE,Iv,H,0.0,0.0,28,1.0
54,MALE,U,H,4.0,0.0,1,1.0
55,FEMALE,H,R,6.625,6.07,8,1.0
55,FEMALE,I,Is,0.0,0.0,4,1.0
55,FEMALE,Is,H,5.25,4.272,4,1.0
55,FEMALE,Iv,H,0.0,0.0,10,1.0
55,MALE,H,D,14.0,0.0,1,0.038
55,MALE,H,R,9.042,5.196,24,0.923
55,MALE,H,U,19.0,0.0,1,0.038
55,MALE,I,Is,0.0,0.0,1,0.5
55,MALE,I,Iv,9.0,0.0,1,0.5
55,MALE,Is,H,10.0,0.0,1,1.0
55,MALE,Iv,H,0.0,0.0,27,1.0
56,FEMALE,H,R,7.8,2.588,5,1.0
56,FEMALE,I,Is,0.0,0.0,2,0.5
56,FEMALE,I,Iv,2.5,3.536,2,0.5
56,FEMALE,Is,H,2.5,0.707,2,1.0
56,FEMALE,Iv,H,0.0,0.0,6,1.0
